student_id,attendance_rate,internal_marks,study_hours_weekly,previous_gpa,assignment_completion_rate,tutoring_support,class_participation,extracurricular_hours,sleep_hours,final_score,performance_category
STU-1000,82.3,52.2,8.6,2.57,69.1,1,2,7.4,5.5,59.9,Average
STU-1001,78.8,77.7,15.3,3.47,78.5,0,2,5.8,8.4,77.6,Good
STU-1002,78.3,66.0,14.5,2.78,77.6,0,2,17.2,4.0,66.0,Average
STU-1003,65.2,63.1,16.9,2.84,57.2,0,2,4.9,8.0,61.7,Average
STU-1004,96.7,51.7,5.8,2.25,64.9,1,2,12.0,8.1,52.4,Average
STU-1005,63.0,69.5,16.7,3.47,72.6,0,2,6.4,6.5,69.3,Average
STU-1006,87.7,77.0,17.5,3.54,73.1,0,2,3.7,8.5,90.2,Good
STU-1007,71.1,62.2,13.1,3.54,62.4,0,1,8.4,6.9,67.7,Average
STU-1008,76.8,79.6,14.3,3.77,82.0,0,2,10.6,7.1,72.1,Average
STU-1009,89.8,61.8,11.5,3.24,72.8,1,3,11.7,7.4,70.7,Average
STU-1010,93.6,83.4,14.3,3.75,72.8,0,3,14.2,10.0,86.7,Good
STU-1011,61.2,59.1,12.0,2.96,51.0,0,2,19.8,8.6,65.3,Average
STU-1012,80.0,49.8,9.0,2.25,67.5,1,3,9.0,7.8,59.0,Average
STU-1013,80.5,73.3,20.3,3.44,68.0,0,2,5.3,5.9,75.4,Good
STU-1014,57.4,43.8,10.0,2.24,51.6,0,1,9.8,7.2,51.7,Average
STU-1015,84.2,71.3,12.8,3.13,74.3,0,3,6.9,6.0,72.8,Average
STU-1016,61.9,61.7,12.1,3.48,69.0,0,3,11.7,8.0,71.8,Average
STU-1017,72.7,67.6,12.6,3.2,70.4,0,1,2.8,7.2,61.2,Average
STU-1018,75.0,97.8,24.9,4.0,75.4,0,3,17.5,5.7,85.2,Good
STU-1019,76.2,60.2,16.5,2.17,81.1,1,2,11.4,7.1,55.9,Average
